FName,LName,Pos,Team,League,Age,Ht,Wt,Ins,Jps,Ft,3ps,Hnd,Pas,Orb,Drb,Psd,Prd,Stl,Blk,PF,Qkn,Jmp,Str,Sta,Pot.Ins,Pot.Jps,Pot.Ft,Pot.3ps,Pot.Hnd,Pot.Pas,Pot.Orb,Pot.Drb,Pot.Psd,Pot.Prd,Pot.Stl,Pot.Blk

Zhaire,Smith,PG,Clippers,RBSL,29,77,212,D+,C+,B ,C+,C ,D+,C ,C-,C+,B-,B-,C+,B+,A ,A+,A-,A ,D ,C ,B ,B ,C ,D ,C ,D ,C ,B ,B ,C 
Mo,Bamba,C,Pelicans,RBSL,30,83,278,D+,B+,B ,B+,C-,F ,A ,B+,A-,C-,C ,A+,A-,C ,C+,C+,A-,D ,A ,B ,B ,D ,D ,A ,B ,B ,C ,C ,A 
William,Tate,PG,D-Cavs,D-RBSL,28,74,198,C ,C ,C+,C+,C ,F+,F-,F+,F+,C+,D ,D+,B+,A ,C ,C ,A ,C ,C ,B ,B ,C ,F ,F ,F ,F ,C ,D ,D 
Brice,Williams,C,FA,,32,83,282,D ,D-,C ,F-,D-,D ,D+,D ,D ,F+,D+,D ,C-,F-,C ,B-,B ,D ,D ,C ,F ,D ,D ,D ,D ,D ,F ,D ,D 
Edward,Fortune,C,D-Pacers,D-RBSL,33,83,289,D ,D ,C+,F-,D+,F+,C ,B-,C ,F+,D ,C+,A ,F-,D+,C+,C+,D ,D ,C ,F ,D ,F ,C ,B ,C ,F ,D ,C 
Wilfredo,Nichols,PG,Hawks,RBSL,22,77,156,D+,C ,C ,D+,B ,C ,D+,B ,F+,C+,D+,F+,C+,A+,C ,A-,C+,D ,B ,C ,C ,A ,A ,D ,B ,D ,A ,C ,D 
James,Mathes,PG,FA,,26,75,178,D-,D-,C+,F ,D ,F ,D ,F ,F-,C-,C-,F-,C-,A-,C ,C-,A ,F ,F ,C ,F ,D ,F ,D ,F ,F ,D ,D ,F 
Mikal,Bridges,SF,Clippers,RBSL,31,79,229,D-,C ,A-,A-,C-,D+,D+,C ,C ,B ,B ,C ,C+,B-,C ,C+,A ,D ,C ,A ,A ,D ,D ,D ,C ,C ,B ,B ,C 
Erasmo,Twyman,C,FA,,33,83,282,F ,D-,C-,F-,D-,F+,D ,D+,D ,F ,D ,D+,D+,F-,D ,C-,B ,F ,F ,C ,F ,F ,F ,D ,D ,D ,F ,D ,D 
Marvin,Bagley,PF,Rockets,RBSL,29,83,271,C ,B-,C ,B ,C ,F+,A+,A-,B-,D ,C ,B+,C ,B ,A ,C+,A-,C ,B ,C ,B ,C ,D ,A ,B ,B ,D ,C ,B 
Markelle,Fultz,PG,D-Cavs,D-RBSL,35,76,218,C-,C+,C+,C+,B-,C ,D-,C-,D ,C ,C ,D+,B+,A-,C ,C ,A-,C ,C ,B ,B ,B ,C ,F ,D ,D ,C ,C ,D 
Daniel,Martin,C,FA,,33,83,284,C-,D ,B ,F-,F+,F-,F ,D ,D-,F ,F-,D-,F+,F-,C-,B-,D+,D ,D ,B ,F ,F ,F ,F ,D ,F ,F ,F ,D 
Abe,Harrington,PG,D-Trail Blazers,D-RBSL,22,75,166,F+,C-,B-,C ,D ,D-,F ,F+,F ,C-,F-,F+,C ,B ,D+,C-,C ,D ,B ,B ,B ,D ,D ,F ,D ,F ,C ,F ,D 
Alvin,King,C,D-Hawks,D-RBSL,32,83,283,F+,D ,C ,F-,D ,F+,D ,C ,C ,D ,D ,C ,C-,F-,F ,A-,B-,F ,D ,C ,F ,D ,F ,D ,C ,C ,D ,D ,C 
